Teste,Temp [C],Umid. Relativa,Vazão [m³/s],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Velocidade [m/s],Cv,Cd,Reynolds
1,24.19,67.24,0.0107,16.9000,2.9418,13.9582,155.0440,4.8375,0.01660,0.00000188,16417.58
2,24.24,67.83,0.0134,124.9066,105.6881,19.2185,239.0925,6.0962,0.01783,0.00000202,20689.66
3,24.28,65.58,0.0158,278.2642,255.9954,22.2688,317.8137,7.1409,0.01940,0.00000219,24234.99
4,24.34,64.14,0.0180,377.8081,353.7988,24.0093,425.0936,8.1766,0.02140,0.00000242,27749.92
5,24.23,62.36,0.0207,618.8360,575.8072,43.0288,555.8662,9.3942,0.01836,0.00000208,31882.31
6,24.11,61.64,0.0229,846.6602,783.1458,63.5144,679.7479,10.3630,0.01667,0.00000189,35170.36
7,24.02,60.85,0.0252,1035.4977,953.1814,82.3163,822.7753,11.4074,0.01612,0.00000182,38714.72
8,24.11,59.57,0.0276,1529.6472,1424.7995,104.8477,981.7083,12.4898,0.01564,0.00000177,42388.40
9,23.98,59.13,0.0300,1949.7686,1817.4693,132.2993,1165.0216,13.6017,0.01516,0.00000172,46161.88
10,23.88,58.24,0.0313,2351.1323,2202.8234,148.3088,1266.2040,14.1797,0.01493,0.00000169,48123.43
11,24.10,57.39,0.0314,2084.6347,1941.5654,143.0693,1273.7951,14.2482,0.01528,0.00000173,48356.01